id,name,email,password,imageUrl,phoneNumber,isEmailVerified,idCard,idCardImage,npwp,npwpImage,googleId,roleId,createdAt,updatedAt
1,Azalea Hartati,superadmin@nukapos.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,,62895247748796,1,3182375124808301,ktp_superadmin.jpg,2522059098516724,npwp_superadmin.jpg,,1,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
2,Gangsar Pradana,gangsar_pradana67@outlook.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/381/231,6281553346635,1,8880090337758633,ktp_owner_1.jpg,9828894677489313,npwp_owner_1.jpg,,2,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
3,Tantri Pudjiastuti,tantripudjiastuti35@mail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/942/425,628525860517,1,8571959728836505,ktp_owner_2.jpg,8778865050834625,npwp_owner_2.jpg,,2,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
4,Hafshah Hartati,hafshahhartati@posku.id,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://placekitten.com/938/502,6289964801396,1,3299739116328746,ktp_owner_3.jpg,4335138493812498,npwp_owner_3.jpg,,2,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
5,Galih Waskita,galih_waskita99@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/1002/697,6283165689980,1,7979853110236634,ktp_owner_4.jpg,9871234471588426,npwp_owner_4.jpg,,2,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
6,Darman Tamba,darman_tamba63@nukapos-owner.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/652/479,6281958316020,1,0134885365766608,ktp_owner_5.jpg,2891363908627696,npwp_owner_5.jpg,,2,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
7,Zalindra Nurdiyanti,zalindranurdiyanti@posku.id,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/498x813,628131198843,0,2477201740029108,ktp_admintoko_1.jpg,,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
8,Siska Rahimah,siska.rahimah@posku.id,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://picsum.photos/921/41,62831903158,1,0321196657952053,ktp_admintoko_2.jpg,3204490581020625,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
9,Samiah Kuswandari,samiah.kuswandari@gmail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/640x895,62886000526609,1,0911441336524906,ktp_admintoko_3.jpg,9459369490344027,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
10,Marsito Permadi,marsito.permadi12@mail.com,$2b$12$2PUQFYvnVPEwlRKIIPWuLunBRrj2GiT4KCXPtRd43YhsUchM34q56,https://dummyimage.com/719x902,628778759572,1,8210003901397754,ktp_admintoko_4.jpg,,,,3,2025-11-28 06:48:43.805989,2025-11-28 06:48:43.805989
